stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,piloting,Instruction.started,ins.started,ins_res.started,Instruction.stopped,ins_res.keys,ins_res.rt,ins_res.duration,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
59,0.5,1.5,73.09606708300271,,,,,,,,,,73.08227408299717,73.09606708300271,73.59694520800258,73.59694520800258,73.59694520800258,73.89684641699569,74.04828787499719,right,1.5,1,1,0.44629437399999006,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
60,0.5,1.0,74.06363466699986,,,,,,,,,,74.04860395799915,74.06363466699986,74.56357250000292,74.56357250000292,74.56357250000292,74.86349291700026,75.06688066700008,right,1.0,1,1,0.485521417002019,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
61,0.5,1.0,75.0799018329999,,,,,,,,,,75.06712712499575,75.0799018329999,75.58030175000022,75.58030175000022,75.58030175000022,75.88022741700115,76.13215479200153,left,-1.0,1,1,0.549733040999854,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
62,0.5,1.0,76.14964012499695,,,,,,,,,,76.13254779199633,76.14964012499695,76.64687199999753,76.64687199999753,76.6636548749957,76.94679358299618,77.16536791699764,right,1.0,1,1,0.5102765420015203,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
63,0.5,1,77.17933833300049,,,,,,,,,,77.1657599579994,77.17933833300049,77.68036462499731,77.68036462499731,77.68036462499731,77.9800982500019,78.16768579200289,right,1,1,1,0.4696109159995103,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
64,0.5,1,78.1793074169982,,,,,,,,,,78.1680483329983,78.1793074169982,78.68027179199998,78.68027179199998,78.68027179199998,78.98023649999959,79.09873849999713,right,1,1,1,0.4145610419946024,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
65,0.5,1,79.11263141699601,,,,,,,,,,79.09913470799802,79.11263141699601,79.61349320800218,79.61349320800218,79.61349320800218,79.9134080829972,80.03435991700098,left,-1,0,0,0.4013219160042354,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
66,0.5,1.5,80.0458694580011,,,,,,,,,,80.03466187499725,80.0458694580011,80.54690729200229,80.54690729200229,80.54690729200229,80.8468237920024,81.08152083300229,right,1.5,0,0,0.5288999990007142,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
67,0.5,2.0,81.09694620800292,,,,,,,,,,81.08185933299683,81.09694620800292,81.59686250000232,81.59686250000232,81.59686250000232,81.89678079199803,82.3178605419962,right,2.0,1,1,0.7080320410022978,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
68,0.5,2.0,82.3294042080015,,,,,,,,,,82.31820695799979,82.3294042080015,82.83021212500171,82.83021212500171,82.83021212500171,83.13013037500059,83.24809866699798,right,2.0,1,1,0.41353679199528415,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
69,0.5,2.0,83.26347633299883,,,,,,,,,,83.24839174999943,83.26347633299883,83.7634534999961,83.7634534999961,83.7634534999961,84.0633470419998,84.20099124999979,left,-2.0,1,1,0.4192052500002319,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
70,0.5,1.5,84.21249079200061,,,,,,,,,,84.2012626249998,84.21249079200061,84.7134944999998,84.7134944999998,84.7134944999998,85.01356954199582,85.21531483299623,left,-1.5,1,1,0.49512899999535875,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
71,0.5,1.5,85.22933758299769,,,,,,,,,,85.21569195800112,85.22933758299769,85.72992474999774,85.72992474999774,85.72992474999774,86.03009929200198,86.23383579200163,left,-1.5,1,1,0.48476400000072317,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
72,0.5,1.5,86.24606116699579,,,,,,,,,,86.23413212499872,86.24606116699579,86.74670620799589,86.74670620799589,86.74670620799589,87.04681658300251,87.31722541699855,right,1.5,1,1,0.5579545829968993,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
73,0.5,1.0,87.33012966699607,,,,,,,,,,87.31752683300147,87.33012966699607,87.83007650000218,87.83007650000218,87.83007650000218,88.13017324999964,88.61520170800213,left,-1.0,1,1,0.7786535000050208,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
74,0.5,1.0,88.6292542500014,,,,,,,,,,88.61558808299742,88.6292542500014,89.1300553330002,89.1300553330002,89.1300553330002,89.43001220800215,89.58185999999841,left,-1.0,1,1,0.44564195800194284,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
75,0.5,1.0,89.59572958300123,,,,,,,,,,89.58227920799982,89.59572958300123,90.09692304200144,90.09692304200144,90.09692304200144,90.39667924999958,90.70125904199813,right,1.0,1,1,0.5885888330012676,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
76,0.5,1,90.71240045799641,,,,,,,,,,90.70158458300284,90.71240045799641,91.21363425000163,91.21363425000163,91.21363425000163,91.51358441699995,91.64881887500087,right,1,1,1,0.43276350000087405,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
77,0.5,1,91.6624132500001,,,,,,,,,,91.64921979200153,91.6624132500001,92.1634859170008,92.1634859170008,92.1634859170008,92.46361479200277,92.83207250000123,left,-1,1,1,0.6659952920017531,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
